Study_ID,Group,Intervention,Sample_Size,Migraine_Type,Aura,MOH,Length_Treatment,Dosage,Drug_Class,Montage,Frequency,No_Sessions,MMD_Baseline,MMD_Baseline_SD,AMD_Baseline,AMD_Baseline_SD,Percent_Response,MHD_Baseline,MHD_Baseline_SD,Change_MMD,Change_MHD,Change_AMD
Schwedt2024,Pharma,Galcanezumab,287,EM,Both,No,12,120,CGRP-mAb,,,3,8.5,2.9,6.8,4,62,9.8,3.6,-5,,-4
Okonkwo2021,Pharma,Galcanezumab,56,EM,Both,No,12,120,CGRP-mAb,,,3,10.2,2.6,10.4,3,41.1,11.3,2.5,-3.4,,-3.5
Okonkwo2021,Pharma,Galcanezumab,43,CM,Both,Both,12,120,CGRP-mAb,,,3,18.8,4.6,16.7,6.9,41.5,21.4,4.7,-7.75,,-7
Ruff2020,Pharma,Galcanezumab,316,EM,Both,Both,12,120,CGRP-mAb,,,3,9,3,,,66.7,,,-4.3,,
Ruff2020,Pharma,Galcanezumab,128,EM,Both,Both,12,120,CGRP-mAb,,,3,9.5,2.8,,,63.1,,,-3.8,,
Ruff2020,Pharma,Galcanezumab,51,EM,Both,Both,12,120,CGRP-mAb,,,3,9.3,2.8,,,57.3,,,-4.3,,
Ruff2020,Pharma,Galcanezumab,331,EM,Both,Both,12,240,CGRP-mAb,,,3,9,2.9,,,64.7,,,-4.5,,
Ruff2020,Pharma,Galcanezumab,104,EM,Both,Both,12,240,CGRP-mAb,,,3,9.4,2.9,,,58.6,,,-4.4,,
Ruff2020,Pharma,Galcanezumab,45,EM,Both,Both,12,240,CGRP-mAb,,,3,9.9,2.8,,,54,,,-4.2,,
Sakai2020,Pharma,Galcanezumab,115,EM,Both,No,24,120,CGRP-mAb,,,4,8.6,2.8,7.3,2.9,49.8,,,-3.7,,
Sakai2020,Pharma,Galcanezumab,114,EM,Both,No,24,240,CGRP-mAb,,,4,9,3,7.8,3,48.2,,,-3.6,,
Sakai2021,Pharma,Fremanezumab,189,CM,Both,Both,12,225,CGRP-mAb,,,1,16.4,5.3,,,29,21.6,4.1,-4.3,-4.4,
Sakai2021,Pharma,Fremanezumab,191,CM,Both,Both,12,225,CGRP-mAb,,,3,15.2,5,,,29.1,21.1,3.9,-4.9,-4.3,
Pazdera2021,Pharma,Fremanezumab,140,EM+CM,Both,Both,12,675,CGRP-mAb,,,1,13.3,5.6,12.4,6.3,39,11.5,5.9,-6.9,,-4
Pazdera2021,Pharma,Fremanezumab,133,EM+CM,Both,Both,12,675,CGRP-mAb,,,1,12.8,5.09,11.5,5.8,41,11.4,5.3,-4.7,,-2.6
Pazdera2021,Pharma,Fremanezumab,85,EM+CM,Both,Both,12,675,CGRP-mAb,,,1,14.4,5.85,12.6,6.7,32,12.6,6.7,-4,,-1.9
Pazdera2021,Pharma,Fremanezumab,98,EM+CM,Both,Both,12,225,CGRP-mAb,,,3,15.2,5.82,12.8,6,28,13.7,6.1,-3.6,,-5.6
Pazdera2021,Pharma,Fremanezumab,49,EM+CM,Both,Both,12,225,CGRP-mAb,,,3,16,4.61,14.3,5.1,27,14.7,4.5,-3.9,,-5
Pazdera2021,Pharma,Fremanezumab,50,EM+CM,Both,Both,12,225,CGRP-mAb,,,3,15.3,5.71,12.5,6.2,32,14.2,6,-4,,-4
Ashina2020,Pharma,Eptinezumab,223,EM+CM,Both,Both,12,30,CGRP-mAb,,,4,8.7,3.05,5.9,2.83,50.2,10.2,3.35,-4,,
Ashina2020,Pharma,Eptinezumab,224,EM+CM,Both,Both,12,100,CGRP-mAb,,,4,8.6,2.85,6.4,2.35,56.3,10,3.02,-4.3,,
Ashina2020,Pharma,Eptinezumab,213,EM+CM,Both,Both,12,300,CGRP-mAb,,,4,8.7,2.87,5.7,2.86,49.8,10.1,3.06,-3.9,,
Ahdab2020,NIBS,c-tDCS,42,EM,Both,No,0.4,,,O1,2,3,3.3,0.25,,,,,,,,
Rahimi2020,NIBS,c-tDCS,15,EM+CM,Both,No,10,,,C3,1000,18,17.13,10.05,,,,,,-15.33,,
Rahimi2020,NIBS,c-tDCS,15,EM+CM,Both,No,10,,,S1,1000,18,14,8.61,,,,,,-12.33,,
Rahimi2023,NIBS,a-tDCS,28,CM,Both,No,10,,,F8+C4,1000,25,21,4.5,,,,,,-19.8,,
Rahimi2023,NIBS,c-tDCS,25,CM,Both,No,10,,,F8+C4,1000,25,22,4,,,,,,-16.5,,
Rahimi2023,NIBS,c-tDCS,24,CM,Both,No,10,,,O2+C3,1000,25,21,4.2,,,,,,-17.9,,
Rahimi2023,NIBS,a-tDCS,29,CM,Both,No,10,,,O2+C3,1000,25,20,4,,,,,,-18.5,,
DeIcco2021,NIBS,a-tDCS,10,CM,Both,Yes,0.7,,,C3,2,5,15.8,3.1,24,4.2,70,24,4.4,-11.2,,
Hodaj2022,NIBS,a-tDCS,17,CM,Both,No,9,,,C3,2,11,18.29,7.9,5.5,4,36,,,-3.73,,-1.8
Aksu2023,NIBS,a-tDCS,11,EM+CM,Both,Both,20,,,C3,2,15,11.45,9.56,13.27,7.88,56.8,14.45,8.48,-6.55,-9.09,-6.82
Cerrahoglu2021,NIBS,a-tDCS,21,EM+CM,Both,Both,4,,,C3,2,3,9.38,0.5,11.71,0.5,60,12,0.5,-3.14,-5.62,
Cerrahoglu2021,NIBS,a-tDCS,15,EM+CM,Both,Both,4,,,C3,2,3,7.13,0.5,8.4,0.5,24,11.73,0.5,-3.06,-7.73,
Pohl2021,NIBS,a-tDCS,11,EM,Both,No,4,,,O1,1,30,5,2,4,3,,7,3,-2.1,-1.9,-0.9
Deng2020,NIBS,PMES,45,EM,Both,No,16,,,A1+A2,10,80,4.71,2.06,6.2,2.06,77.8,,,-2.85,,-4.27
Deng2020,NIBS,STS,45,EM,Both,No,16,,,Fp1+Fp2,16,80,6.5,2.07,5.5,2.83,62.2,,,-3.5,,-3.7
Najib2022,NIBS,nVNS,56,EM+CM,No,No,12,,,neck,60,252,9.2,4.6,8.2,3.5,44.87,13.4,4,-3.12,-4.56,-2.53
Najib2022,NIBS,nVNS,56,EM+CM,Yes,No,12,,,neck,60,252,9.2,4.6,8.2,3.5,44.36,13.4,4,-4.4,-5.52,
Tepper2023,NIBS,REN,128,EM+CM,Both,No,12,,,upper arm,40,84,12.1,4.3,11.3,3.8,51.6,15.6,4.5,-3.8,-4.2,-3.9
Blumenfeld2023,NIBS,REN,45,EM,Both,No,12,,,upper arm,40,84,9.6,3.91,,,,,,-3.23,,
Blumenfeld2023,NIBS,REN,50,CM,Both,No,12,,,upper arm,40,84,13.71,3.91,,,,,,-4.64,,
Leahu2021,NIBS,rTMS-swipe+multifocal,33,EM,Both,No,16,,,swipe,67,16,7.63,3.91,,,,,,-3.33,,
